;rev_id;prediction
41756;804081681;Start
41757;804081788;Start
41758;804082169;Start
41759;804082390;Stub
41760;804082579;B
41761;804082800;Start
41762;804083434;C
41763;804083586;C
41764;804083773;C
41765;804084246;Start
41766;804084561;Start
41767;804085982;Stub
41768;804087002;Stub
41769;804087243;C
41770;804087492;Stub
41771;804089204;Stub
41772;804090066;C
41773;804090293;Start
41774;804090461;C
41775;804091265;C
41776;804091573;GA
41777;804091808;Start
41778;804091843;Stub
41779;804091882;Start
41780;804092712;GA
41781;804093565;GA
41782;804093651;Stub
41783;804093764;Stub
41784;804094659;Start
41785;804095077;Start
41786;804095754;C
41787;804095790;Start
41788;804099267;C
41789;804099373;Start
41790;804100365;GA
41791;804101492;FA
41792;804103114;Stub
41793;804104355;Start
41794;804104931;C
41795;804105438;Stub
41796;804105709;Start
41797;804105984;C
41798;804106203;Stub
41799;804106598;Stub
41800;804106609;Stub
41801;804106821;Stub
41802;804107345;C
41803;804108433;Stub
41804;804109224;Start
41805;804109267;Start
41806;804111013;C
41807;804111132;C
41808;804112392;GA
41809;804112500;Start
41810;804112819;Stub
41811;804113674;FA
41812;804114360;C
41813;804115829;GA
41814;804116289;Start
41815;804118645;-1
41816;804118985;Start
41817;804120072;Stub
41818;804120185;Stub
41819;804122433;Start
41820;804122505;Stub
41821;804123422;C
41822;804124368;C
41823;804124946;Stub
41824;804125853;Stub
41825;804126930;B
41826;804127803;Stub
41827;804127877;Stub
41828;804128734;Stub
41829;804128826;C
41830;804129698;Stub
41831;804130200;Stub
41832;804130440;Stub
41833;804130858;C
41834;804131153;Start
41835;804131272;Stub
41836;804131604;Start
41837;804131643;Start
41838;804131948;Stub
41839;804132298;Stub
41840;804132518;Start
41841;804132817;Stub
41842;804133123;Start
41843;804133555;Start
41844;804134156;Start
41845;804136596;Start
41846;804136732;Start
41847;804138803;Stub
41848;804139010;Stub
41849;804139208;Stub
41850;804139258;Stub
41851;804139515;C
41852;804139730;Start
41853;804139800;Stub
41854;804139868;Stub
41855;804140099;Stub
41856;804140159;Stub
41857;804140314;Stub
41858;804140447;Stub
41859;804142156;Start
41860;804142444;Start
41861;804142943;C
41862;804143236;Stub
41863;804143605;Stub
41864;804145524;Start
41865;804146604;GA
41866;804147118;Stub
41867;804147288;C
41868;804148964;Start
41869;804149674;FA
41870;804151581;GA
41871;804151598;Start
41872;804152406;FA
41873;804152925;Stub
